season,gameweek,team,opponent_team,is_home,lagged_GC_1,lagged_GC_2,lagged_GC_3,lagged_GC_4,lagged_GC_5,lagged_GS_1,lagged_GS_2,lagged_GS_3,lagged_GS_4,lagged_GS_5,days_rest,days_till_next,opponent_lagged_GC_1,opponent_lagged_GC_2,opponent_lagged_GC_3,opponent_lagged_GC_4,opponent_lagged_GC_5,opponent_lagged_GS_1,opponent_lagged_GS_2,opponent_lagged_GS_3,opponent_lagged_GS_4,opponent_lagged_GS_5,opponent_days_rest,opponent_days_till_next,goals_conceded
2223,3,1,3,0,2.0,0.0,,,,4.0,2.0,,,,7.0,7.0,4.0,0.0,,,,0.0,2.0,,,,7.0,6.0,0
2223,3,11,6,1,2.0,1.0,,,,2.0,2.0,,,,7.0,6.0,2.0,0.0,,,,2.0,1.0,,,,6.0,6.0,0
2223,3,6,11,0,2.0,0.0,,,,2.0,1.0,,,,6.0,6.0,2.0,1.0,,,,2.0,2.0,,,,7.0,6.0,3
2223,3,19,5,1,1.0,2.0,,,,0.0,0.0,,,,7.0,7.0,0.0,1.0,,,,0.0,2.0,,,,7.0,6.0,2
2223,3,5,19,0,0.0,1.0,,,,0.0,2.0,,,,7.0,6.0,1.0,2.0,,,,0.0,0.0,,,,7.0,7.0,0
2223,3,15,13,1,0.0,0.0,,,,0.0,2.0,,,,8.0,6.0,0.0,0.0,,,,4.0,2.0,,,,8.0,5.0,3
2223,3,13,15,0,0.0,0.0,,,,4.0,2.0,,,,8.0,5.0,0.0,0.0,,,,0.0,2.0,,,,8.0,6.0,3
2223,3,14,12,1,4.0,2.0,,,,0.0,1.0,,,,9.0,4.0,1.0,2.0,,,,1.0,2.0,,,,7.0,4.0,1
2223,3,12,14,0,1.0,2.0,,,,1.0,2.0,,,,7.0,4.0,4.0,2.0,,,,0.0,1.0,,,,9.0,4.0,2
2223,4,17,14,1,1.0,2.0,4.0,,,2.0,2.0,1.0,,,6.0,3.0,1.0,4.0,2.0,,,2.0,0.0,1.0,,,4.0,5.0,1
2223,4,14,17,0,1.0,4.0,2.0,,,2.0,0.0,1.0,,,4.0,5.0,1.0,2.0,4.0,,,2.0,2.0,1.0,,,6.0,3.0,0
2223,4,4,8,1,3.0,0.0,2.0,,,2.0,4.0,2.0,,,7.0,3.0,1.0,2.0,1.0,,,1.0,1.0,0.0,,,7.0,3.0,1
